"","country code","country name","emissions.agriculture","emissions.buildings","emissions.extraction","emissions.manufacturing","emissions.maritime","emissions.oil and gas","emissions.power","emissions.transport","emissions.waste","emissions.total","GDP","net_zero_target"
"ARE","ARE","United Arab Emirates",1952655,932653,119524,82332009,134440,74389570,84635680,47904341,7495600,299896472,358868765174.924,2050
"ATG","ATG","Antigua and Barbuda",19536,88431,51,38824,10338235,0,275000,288564,49280,11097921,1370281481.48148,2040
"AUS","AUS","Australia",93785962,43380686,8292742,45058599,752974,129382650,180107320,115295903,13944420,630001256,1327836171068.51,2050
"AUT","AUT","Austria",7093716,10952267,65771,17576600,0,2566065,12342280,21271638,2814753,74683090,433258467676.515,2040
"BEN","BEN","Benin",5726903,711837,1470,1170073,0,1327200,153233,6830284,2464354,18385354,15651545331.5404,2000
"BHR","BHR","Bahrain",72994,275711,0,5478661,57497,10211411,20961760,4317051,996800,42371885,34723357446.8085,2060
"BLZ","BLZ","Belize",710758,70563,640,31022,2744751,192,236000,219703,280084,4293713,1585631670.3461,2050
"BRA","BRA","Brazil",524216672,36669240,4161050,120441060,1546028,99684384,93884000,188834149,161120000,1230556583,1448565936739.56,2060
"BRB","BRB","Barbados",53781,197833,2051,151754,1652890,77,828000,672304,150640,3709330,4689534961.75956,2030
"BTN","BTN","Bhutan",514168,372896,9430,821529,0,21502,163114,191774,325080,2419493,2315436303.29988,2000
"CAN","CAN","Canada",72061250,114853874,1392457,95403457,2791658,250188098,77140000,134291998,21284200,769406992,1645423407568.36,2050
"CHL","CHL","Chile",11578237,8596752,6825869,10299481,1261812,5431750,36916000,26979244,14921252,122810397,252727193710.018,2050
"CHN","CHN","China",651700692,859927924,9011865,4575958471,35558118,1101955831,4718783800,859876074,817220000,13629992775,14687673892882,2060
"CRI","CRI","Costa Rica",4380743,646364,3735,1548426,0,625784,202000,6233271,2464840,16105163,62158002233.0279,2050
"DEU","DEU","Germany",65728779,144685930,275683,133863704,8355546,38258777,242259720,186594730,17345600,837368469,3846413928653.71,2045
"DNK","DNK","Denmark",11027971,5095147,15789,5596968,22864533,1270132,8348760,12748446,1130477,68098223,356084867685.639,2050
"ECU","ECU","Ecuador",12924732,6540972,53726,5326284,222830,6794353,4764165,19496181,8045940,64169183,99291124000,2050
"ESP","ESP","Spain",37290313,38487364,175740,47518880,3227152,22692406,50809720,99808263,21802000,321811838,1281484640043.58,2050
"EST","EST","Estonia",4237389,1173454,4199,1164089,1281588,4320641,6906568,2473227,1087900,22649055,30650285471.7215,2050
"FIN","FIN","Finland",12310396,5776417,69032,10197548,5216080,4109077,16349928,11676991,10836280,76541749,271836962949.417,2035
"FJI","FJI","Fiji",624373,183929,353,375621,104638,6328,595527,1231164,426552,3548485,4574413823.31243,2050
"FRA","FRA","France",76057076,95363643,192315,60636648,5673997,17755941,44513760,145835131,22125120,468153631,2630317731455.26,2050
"GBR","GBR","United Kingdom of Great Britain and Northern Ireland",50213293,100159898,150913,57029172,10321226,33109930,69007000,128307577,10569000,458868009,2756900214107.32,2050
"GNB","GNB","Guinea-Bissau",1736464,343321,96,66545,225,110320,57201,171750,833000,3318922,1431758242.90375,2030
"GRC","GRC","Greece",8126858,12212010,17450,11863680,22032534,6976014,19925800,16389960,5000680,102544986,188835201625.91,2050
"GUY","GUY","Guyana",6816260,260044,8855,243435,2289,635090,945000,660349,1730244,11301566,5471256594.72422,2019
"HRV","HRV","Croatia",2372647,3524566,11865,5412779,1060309,1957815,4112112,6271005,1587320,26310418,57203783203.0259,2050
"HUN","HUN","Hungary",12063941,13791362,28237,11053944,0,3207450,11722508,14290919,2484636,68642997,156743134665.959,2050
"IND","IND","India",838528780,226064000,2161150,724573804,4506097,167074891,1152610800,297494309,305788000,3718801831,2667687951796.56,2070
"IRL","IRL","Ireland",23818524,9238524,26652,6610700,456915,480864,8197016,13106762,780504,62716461,425888950992.003,2050
"ISL","ISL","Iceland",636780,758470,953,2280925,38138,0,347000,1303305,258608,5624179,21718075725.2054,2040
"ISR","ISR","Israel",1437646,2965780,16315,8087820,328764,7592863,36328000,20303733,7044800,84105721,407100736594.064,2050
"ITA","ITA","Italy",30882051,88387424,129990,50872199,13252832,23396935,98554160,135350493,16304800,457130884,1892574064222.11,2050
"JPN","JPN","Japan",24626644,173293268,126901,239611209,89420348,60668722,496162360,210279445,30160624,1324349521,5040107754084.11,2050
"KAZ","KAZ","Kazakhstan",26445313,25447392,654933,71582705,48546,55630268,99824302,14420647,4802000,298856106,171082379532.988,2050
"KHM","KHM","Cambodia",32711407,1518298,22210,1428935,0,2407436,3862000,5871871,18614500,66436657,25872798012.1938,2000
"KOR","KOR","Republic of Korea",13023016,62957114,90563,122582824,0,65010035,302066480,106147661,30252000,702129693,1637895802792.9,2050
"LBR","LBR","Liberia",612776,1100079,19737,311170,115714775,448000,340000,656049,1018080,120220666,3039982540,2000
"LKA","LKA","Sri Lanka",7117080,2259040,1450,1828321,269494,1067118,9492782,10506961,14100800,46643046,80969683537.4541,2060
"LTU","LTU","Lithuania",8982567,2137721,9354,3849455,975080,2553159,1623474,6140946,1301192,27572948,56546957475.4912,2050
"LUX","LUX","Luxembourg",635168,1840492,939,1316838,497863,0,609000,7756598,40544,12697442,73353132793.7076,2050
"LVA","LVA","Latvia",4811991,1843856,4552,1715265,366718,36770,1562884,3465377,770280,14577693,33645460617.239,2050
"MCO","MCO","Monaco",0,7615,0,0,0,0,0,3182,0,10797,6816219303.25528,2050
"MDG","MDG","Madagascar",25507961,1935920,965,2533726,15831,2307200,1303000,1504789,8551200,43660592,13225591803.6232,2010
"MDV","MDV","Maldives",1510,131481,0,196756,3463,2262,533000,1177481,154850,2200803,3742769967.42798,2030
"MHL","MHL","Marshall Islands",0,0,18,0,99636271,0,160000,9216,2206,99807711,244462400,2050
"MLT","MLT","Malta",76267,544521,1625,105302,57548188,0,897455,731241,93074,59997673,14917038504.285,2050
"MYS","MYS","Malaysia",56269457,8170773,294182,64024812,4534191,22389508,117435148,61194875,18998600,353311546,337006023789.699,2050
"NGA","NGA","Nigeria",85679568,38982880,34784,19403852,128671,60593499,14780020,66745144,51380000,337728418,432293776262.398,2030
"NPL","NPL","Nepal",27094100,5867768,6602,4325727,0,40104,86,5692991,13146280,56173658,33433670511.9364,2050
"NZL","NZL","New Zealand",42294699,4944068,35423,9122946,415904,1817914,7472000,15088266,4530230,85721450,211734532308.013,2050
"PAN","PAN","Panama",4633806,802673,851,2663302,153315291,2884,1992332,5120376,2086000,170617515,53977037000,2050
"PRT","PRT","Portugal",7139464,7475722,105881,9990390,16312125,2486596,12548844,19825700,4699216,80583938,228539245045.341,2050
"ROU","ROU","Romania",15312360,14347352,54135,21620576,269,4854986,21865296,18794006,7685480,104534460,249511333647.502,2050
"RUS","RUS","Russian Federation",125281905,249432378,2128673,389894493,7719289,534671526,781139436,238272185,105182868,2433722753,1488321875489.74,2060
"SAU","SAU","Saudi Arabia",5958851,4532530,234074,200034729,3159301,130968939,268582000,117649562,29904000,761023986,703367841222.555,2060
"SGP","SGP","Singapore",15916,600630,0,22743502,66437381,17149270,34600000,11308786,5040400,157895885,345295933898.674,2021
"SVN","SVN","Slovenia",1716145,1717889,4542,4097643,0,840000,4763200,5180218,547388,18867025,53589609580.7099,2050
"SWE","SWE","Sweden",11542786,2921437,422006,12600460,3751567,5163003,8221800,18694861,7902976,71220896,541487151474.557,2045
"THA","THA","Thailand",72388578,15358016,115050,79565785,2617810,27472849,96245000,78125964,91745400,463634452,499681757030.968,2050
"TUR","TUR","Turkey",49479775,73363497,613964,112222709,5268699,18176336,128161000,83823888,59054637,530164505,719954821683.31,2053
"UKR","UKR","Ukraine",39898170,31422673,471150,47666770,107807,19987735,86595004,26428792,9111322,261689423,156617861448.576,2060
"URY","URY","Uruguay",26449214,1174886,1421,1661908,36325,649700,2520000,4183739,6658330,43335523,53560755046.5726,2050
"USA","USA","United States of America",398331849,759215132,3521134,642531281,8465670,1011389595,1600399000,1614126653,142503200,6180483514,20893743833000,2050
"VNM","VNM","Viet Nam",76767974,22340000,428530,116996090,3013204,23635915,136969000,42008978,77773200,499932891,343242570827.351,2050
"ZAF","ZAF","South Africa",27070441,45654400,358996,59708006,62591,62898555,218429840,54600236,24951864,493734929,335442101366.417,2050
